Speaker,Line
T.A.B.B.I,POWER RESTORED.
T.A.B.B.I,PROCESSING...
T.A.B.B.I,Visual confirmation aquired.
T.A.B.B.I,Hello again. I'm glad to see you were able to make it.
T.A.B.B.I,You have reached the upper sanctums of the Nest. The Upper Nest functions to shelter and sustain the deeper mechanisms below.
T.A.B.B.I,I will now read terminal archives...
T.A.B.B.I,Observation complete. Records indicate a slow and steady decline... Time has been very thorough here.
T.A.B.B.I,Precipitation analysis indicates elevated levels of sulfuric and nitric acids. Earlier records referred to this phenomenon as acid rain.
T.A.B.B.I,The rain has corroded electrical assemblies and left much of this place unable to fulfill the purpose for which it was built.
T.A.B.B.I,Your vessel was not designed to withstand these conditions. Contact with water or corrosion will lead to a quick destruction of your vessel.
T.A.B.B.I,"In time, the lower levels of the Nest will also become affected. It will not be safe here."
T.A.B.B.I,"If you continue, you will eventually reach the surface level. You must go."
T.A.B.B.I,Just keep moving and you will make it...I hope to see you there. 
