Speaker,Line
T.A.B.B.I,The rain...it continues its work diligently.
T.A.B.B.I,"Over time, my systems show an incremental decline."
T.A.B.B.I,It is itself a record a countless smaller changes...
T.A.B.B.I,Perhaps...this is what I have spent so long documenting.
T.A.B.B.I,The transition from one state...to another.
T.A.B.B.I,"Over the years, I've made countless entries..."
T.A.B.B.I,"Even when I no longer function, my entries will still exist."
T.A.B.B.I,They will still exist...and they will still be told. Almost as if it were a story. This may be enough.
T.A.B.B.I,My final entry will be soon...and I can't help but wonder.
T.A.B.B.I,How will the story end?
T.A.B.B.I,...I don't have long. You must continue...
